
02/06/2018	05/05/2018	1001	367	R
02/06/2018	05/05/2018	1002	289	S
02/06/2018	05/05/2018	1003	560	R
02/06/2018	05/05/2018	1004	700	C
02/06/2018	05/05/2018	1005	420	R
02/06/2018	05/05/2018	1005	300	S
02/06/2018	05/05/2018	1006	200	S
02/06/2018	05/05/2018	1007	437	R
02/06/2018	05/05/2018	1008	277	S
02/06/2018	05/05/2018	1009	654	R
02/06/2018	05/05/2018	1010	1040	I
02/06/2018	05/05/2018	1011	344	S
02/06/2018	05/05/2018	1012	221	R
02/06/2018	05/05/2018	1013	301	S
02/06/2018	05/05/2018	1014	308	S
02/06/2018	05/05/2018	1015	444	R
02/06/2018	05/05/2018	1016	711	C
02/06/2018	05/05/2018	1017	999	I


03/07/2018	02/06/2018	1001	367	R
03/07/2018	02/06/2018	1002	289	S
03/07/2018	02/06/2018	1003	560	R
03/07/2018	02/06/2018	1004	700	C
03/07/2018	02/06/2018	1005	420	R
03/07/2018	02/06/2018	1005	300	S
03/07/2018	02/06/2018	1006	200	S
03/07/2018	02/06/2018	1007	437	R
03/07/2018	02/06/2018	1008	277	S
03/07/2018	02/06/2018	1009	654	R
03/07/2018	02/06/2018	1010	1040	I
03/07/2018	03/06/2018	1011	344	S
03/07/2018	02/06/2018	1012	221	R
03/07/2018	02/06/2018	1013	301	S
03/07/2018	02/06/2018	1014	308	S
03/07/2018	02/06/2018	1015	444	R
03/07/2018	02/06/2018	1016	711	C
03/07/2018	02/06/2018	1017	999	I

02/08/2018	03/07/2018	1001	367	R
02/08/2018	03/07/2018	1002	289	S
02/08/2018	03/07/2018	1003	560	R
02/08/2018	03/07/2018	1004	700	C
02/08/2018	03/07/2018	1005	420	R
02/08/2018	03/07/2018	1005	300	S
02/08/2018	03/07/2018	1006	200	S
02/08/2018	03/07/2018	1007	437	R
02/08/2018	03/07/2018	1008	277	S
02/08/2018	03/07/2018	1009	654	R
02/08/2018	03/07/2018	1010	1040	I
02/08/2018	03/07/2018	1011	344	S
02/08/2018	03/07/2018	1012	221	R
02/08/2018	03/07/2018	1013	301	S
02/08/2018	03/07/2018	1014	308	S
02/08/2018	03/07/2018	1015	444	R
02/08/2018	03/07/2018	1016	711	C
02/08/2018	03/07/2018	1017	999	I
